Time,precipitation
1-10 Jan 1981,58.38324
11-20 Jan 1981,52.66996
21-31 Jan 1981,52.62144
1-10 Feb 1981,86.33518
11-20 Feb 1981,120.1594
21-28 Feb 1981,56.25798
1-10 Mar 1981,121.628
11-20 Mar 1981,85.19239
21-31 Mar 1981,94.09427
1-10 Apr 1981,102.4523
11-20 Apr 1981,162.9397
21-30 Apr 1981,136.7701
1-10 May 1981,112.8917
11-20 May 1981,115.2043
21-31 May 1981,160.2409
1-10 Jun 1981,63.1176
11-20 Jun 1981,77.68673
21-30 Jun 1981,80.51923
1-10 Jul 1981,92.2029
11-20 Jul 1981,74.96463
21-31 Jul 1981,31.21171
1-10 Aug 1981,31.47695
11-20 Aug 1981,63.22525
21-31 Aug 1981,99.98645
1-10 Sep 1981,50.4661
11-20 Sep 1981,69.53226
21-30 Sep 1981,42.26402
1-10 Oct 1981,99.16929
11-20 Oct 1981,91.46306
21-31 Oct 1981,139.6564
1-10 Nov 1981,105.1969
11-20 Nov 1981,153.9335
21-30 Nov 1981,131.3086
1-10 Dec 1981,90.93608
11-20 Dec 1981,101.8334
21-31 Dec 1981,130.0395
1-10 Jan 1982,132.0041
11-20 Jan 1982,54.05548
21-31 Jan 1982,88.00494
1-10 Feb 1982,76.76797
11-20 Feb 1982,106.6686
21-28 Feb 1982,70.4826
1-10 Mar 1982,86.7818
11-20 Mar 1982,109.5729
21-31 Mar 1982,100.4628
1-10 Apr 1982,137.4662
11-20 Apr 1982,89.23259
21-30 Apr 1982,113.1266
1-10 May 1982,85.8813
11-20 May 1982,139.7483
21-31 May 1982,143.5474
1-10 Jun 1982,66.15793
11-20 Jun 1982,50.53537
21-30 Jun 1982,53.45232
1-10 Jul 1982,50.05704
11-20 Jul 1982,47.54983
21-31 Jul 1982,56.617
1-10 Aug 1982,34.23257
11-20 Aug 1982,31.96896
21-31 Aug 1982,37.89247
1-10 Sep 1982,49.0934
11-20 Sep 1982,114.0833
21-30 Sep 1982,92.49816
1-10 Oct 1982,139.9931
11-20 Oct 1982,130.6116
21-31 Oct 1982,150.6754
1-10 Nov 1982,122.2543
11-20 Nov 1982,140.624
21-30 Nov 1982,110.714
1-10 Dec 1982,146.6584
11-20 Dec 1982,120.6724
21-31 Dec 1982,121.772
1-10 Jan 1983,58.6508
11-20 Jan 1983,42.01849
21-31 Jan 1983,74.64283
1-10 Feb 1983,98.81554
11-20 Feb 1983,42.72583
21-28 Feb 1983,47.60636
1-10 Mar 1983,118.9058
11-20 Mar 1983,45.74113
21-31 Mar 1983,140.3011
1-10 Apr 1983,122.5406
11-20 Apr 1983,101.6006
21-30 Apr 1983,122.5786
1-10 May 1983,110.4766
