Time,monthly mean of daily rainfall
Jan 1948,4.875576
Feb 1948,4.730991
Mar 1948,6.464379
Apr 1948,12.08182
May 1948,8.522713
Jun 1948,4.225948
Jul 1948,4.440534
Aug 1948,3.667338
Sep 1948,6.091152
Oct 1948,10.9968
Nov 1948,6.250521
Dec 1948,6.291305
Jan 1949,10.11855
Feb 1949,6.549666
Mar 1949,8.331439
Apr 1949,5.935958
May 1949,8.212652
Jun 1949,10.72837
Jul 1949,5.914961
Aug 1949,4.931002
Sep 1949,6.782485
Oct 1949,11.77522
Nov 1949,10.90867
Dec 1949,6.012886
Jan 1950,9.695251
Feb 1950,12.2331
Mar 1950,10.85662
Apr 1950,9.497398
May 1950,11.29301
Jun 1950,11.58562
Jul 1950,5.058836
Aug 1950,7.253513
Sep 1950,7.124351
Oct 1950,7.725181
Nov 1950,9.918785
Dec 1950,7.257541
Jan 1951,7.779311
Feb 1951,7.993087
Mar 1951,5.486479
Apr 1951,5.285655
May 1951,9.464832
Jun 1951,6.013374
Jul 1951,5.896852
Aug 1951,6.759054
Sep 1951,5.906432
Oct 1951,9.082386
Nov 1951,10.83862
Dec 1951,9.076615
Jan 1952,8.435217
Feb 1952,6.663462
Mar 1952,5.783751
Apr 1952,8.723057
May 1952,9.303816
Jun 1952,7.109323
Jul 1952,4.637284
Aug 1952,2.124953
Sep 1952,3.687056
Oct 1952,7.609521
Nov 1952,9.945563
Dec 1952,9.204463
Jan 1953,7.31792
Feb 1953,5.732332
Mar 1953,6.529222
Apr 1953,7.442351
May 1953,11.02671
Jun 1953,5.991494
Jul 1953,3.853172
Aug 1953,1.219191
Sep 1953,10.70754
Oct 1953,13.44856
Nov 1953,13.68762
Dec 1953,9.119823
Jan 1954,5.752625
Feb 1954,7.542672
Mar 1954,7.388883
Apr 1954,9.675697
May 1954,8.526789
Jun 1954,9.041313
Jul 1954,7.238476
Aug 1954,3.623901
Sep 1954,4.062948
Oct 1954,12.04677
Nov 1954,9.603362
Dec 1954,10.23186
Jan 1955,7.432818
Feb 1955,6.675217
Mar 1955,10.21805
Apr 1955,8.729754
May 1955,9.658564
Jun 1955,9.123837
Jul 1955,8.614111
Aug 1955,5.690782
Sep 1955,7.308243
Oct 1955,10.75301
Nov 1955,10.25468
Dec 1955,12.54776
Jan 1956,9.180548
Feb 1956,10.0559
