Time,Precipitation
0000 1 Jan 2006,0.6355843
0000 2 Jan 2006,0.171532
0000 3 Jan 2006,12.17918
0000 4 Jan 2006,0.02136323
0000 5 Jan 2006,2.221123
0000 6 Jan 2006,1.511692
0000 7 Jan 2006,1.678915
0000 8 Jan 2006,4.101035
0000 9 Jan 2006,3.04654
0000 10 Jan 2006,5.019042
0000 11 Jan 2006,0.2181914
0000 12 Jan 2006,0.1570776
0000 13 Jan 2006,0.004937847
0000 14 Jan 2006,0.00131936
0000 15 Jan 2006,27.66056
0000 16 Jan 2006,1.346467
0000 17 Jan 2006,3.542292
0000 18 Jan 2006,2.313459
0000 19 Jan 2006,1.90578
0000 20 Jan 2006,1.319149
0000 21 Jan 2006,0.4371791
0000 22 Jan 2006,0.07521745
0000 23 Jan 2006,0.3565187
0000 24 Jan 2006,0.5827069
0000 25 Jan 2006,3.167015
0000 26 Jan 2006,0.5171518
0000 27 Jan 2006,0.2228037
0000 28 Jan 2006,0.0232459
0000 29 Jan 2006,0.0
0000 30 Jan 2006,0.02548231
0000 31 Jan 2006,0.6915331
0000 1 Feb 2006,1.558088
0000 2 Feb 2006,0.0
0000 3 Feb 2006,9.476456
0000 4 Feb 2006,2.225599
0000 5 Feb 2006,28.18457
0000 6 Feb 2006,6.885699
0000 7 Feb 2006,4.823658
0000 8 Feb 2006,0.02470598
0000 9 Feb 2006,3.673004
0000 10 Feb 2006,1.457928
0000 11 Feb 2006,0.02054558
0000 12 Feb 2006,4.090345
0000 13 Feb 2006,0.3944066
0000 14 Feb 2006,0.2290915
0000 15 Feb 2006,0.2579367
0000 16 Feb 2006,0.04128182
0000 17 Feb 2006,0.2720383
0000 18 Feb 2006,0.07390512
0000 19 Feb 2006,0.2385304
0000 20 Feb 2006,9.019431
0000 21 Feb 2006,0.8371632
0000 22 Feb 2006,0.056922
0000 23 Feb 2006,0.00637292
0000 24 Feb 2006,0.03148382
0000 25 Feb 2006,3.805784
0000 26 Feb 2006,14.12201
0000 27 Feb 2006,0.01852971
0000 28 Feb 2006,6.908481
0000 1 Mar 2006,0.0
0000 2 Mar 2006,0.02692981
0000 3 Mar 2006,0.0
0000 4 Mar 2006,0.0
0000 5 Mar 2006,3.007506
0000 6 Mar 2006,0.002453673
0000 7 Mar 2006,0.4362483
0000 8 Mar 2006,1.05099
0000 9 Mar 2006,1.058836
0000 10 Mar 2006,0.205939
0000 11 Mar 2006,0.5387538
0000 12 Mar 2006,0.0348758
0000 13 Mar 2006,0.03395385
0000 14 Mar 2006,0.8039225
0000 15 Mar 2006,25.35834
0000 16 Mar 2006,0.02228004
0000 17 Mar 2006,16.88494
0000 18 Mar 2006,0.1451605
0000 19 Mar 2006,14.46352
0000 20 Mar 2006,2.685565
0000 21 Mar 2006,0.1424519
0000 22 Mar 2006,0.01689483
0000 23 Mar 2006,2.593946
0000 24 Mar 2006,8.404517
0000 25 Mar 2006,11.16982
0000 26 Mar 2006,0.09530989
0000 27 Mar 2006,1.633524
0000 28 Mar 2006,0.8178979
0000 29 Mar 2006,5.155778
0000 30 Mar 2006,0.1292528
0000 31 Mar 2006,1.191464
0000 1 Apr 2006,1.738386
0000 2 Apr 2006,8.921074
0000 3 Apr 2006,0.0
0000 4 Apr 2006,0.08055764
0000 5 Apr 2006,0.04861727
0000 6 Apr 2006,13.25462
0000 7 Apr 2006,5.824325
0000 8 Apr 2006,0.0
0000 9 Apr 2006,0.5122293
0000 10 Apr 2006,0.2221102
0000 11 Apr 2006,3.038282
0000 12 Apr 2006,6.681453
0000 13 Apr 2006,1.623058
0000 14 Apr 2006,2.072099
0000 15 Apr 2006,8.907185
0000 16 Apr 2006,8.085465
0000 17 Apr 2006,2.660846
0000 18 Apr 2006,1.64573
0000 19 Apr 2006,0.0
0000 20 Apr 2006,9.008883
