Year,Value,Unit,Region,Country,Source Name,Source Type
2004,100,index,Bangladesh,USA,Passive Microwave,Rainfall
2005,62,index,Bangladesh,USA,Passive Microwave,Rainfall
2006,27,index,Bangladesh,USA,Passive Microwave,Rainfall
2007,91,index,Bangladesh,USA,Passive Microwave,Rainfall
2008,50,index,Bangladesh,USA,Passive Microwave,Rainfall
2009,34,index,Bangladesh,USA,Passive Microwave,Rainfall
2010,38,index,Bangladesh,USA,Passive Microwave,Rainfall
2011,32,index,Bangladesh,USA,Passive Microwave,Rainfall
2012,21,index,Bangladesh,USA,Passive Microwave,Rainfall
2013,0,index,Bangladesh,USA,Passive Microwave,Rainfall
2014,0,index,Bangladesh,USA,Passive Microwave,Rainfall
2015,18,index,Bangladesh,USA,Passive Microwave,Rainfall
2016,28,index,Bangladesh,USA,Passive Microwave,Rainfall
2017,31,index,Bangladesh,USA,Passive Microwave,Rainfall
2018,2,index,Bangladesh,USA,Passive Microwave,Rainfall
2019,71,index,Bangladesh,USA,Passive Microwave,Rainfall
2004,78,index,Bangladesh,USA,Stream Gauge,Weather Station
2005,90,index,Bangladesh,USA,Stream Gauge,Weather Station
2006,31,index,Bangladesh,USA,Stream Gauge,Weather Station
2007,99,index,Bangladesh,USA,Stream Gauge,Weather Station
2008,62,index,Bangladesh,USA,Stream Gauge,Weather Station
2009,9,index,Bangladesh,USA,Stream Gauge,Weather Station
2010,38,index,Bangladesh,USA,Stream Gauge,Weather Station
2011,43,index,Bangladesh,USA,Stream Gauge,Weather Station
2012,19,index,Bangladesh,USA,Stream Gauge,Weather Station
2013,63,index,Bangladesh,USA,Stream Gauge,Weather Station
2014,0,index,Bangladesh,USA,Stream Gauge,Weather Station
2015,57,index,Bangladesh,USA,Stream Gauge,Weather Station
2016,63,index,Bangladesh,USA,Stream Gauge,Weather Station
2017,100,index,Bangladesh,USA,Stream Gauge,Weather Station
2018,66,index,Bangladesh,USA,Stream Gauge,Weather Station
2019,83,index,Bangladesh,USA,Stream Gauge,Weather Station
